run_id	sample_id	DNA_kit	replicate	matrix_type	taxonomy_method	Method	Trimm	Paired	taxon	ngs_relative_abundance	expected_abundance
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Aspergillus_fumigatus	0.0333697351765903	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Candida_albicans	0.28955598024372686	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Cryptococcus_neoformans	0.1393239184929637	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Cutaneotrichosporon_dermatis	0.2359584026209327	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Fusarium_keratoplasticum	0.0020600134024968356	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Malassezia_globosa	0	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Nakaseomyces_glabratus	0.10848576605197191	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Penicillium_chrysogenum	0.12556153979796977	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Saccharomyces_cerevisiae	0.06072075649648805	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Trichophyton_interdigitale	0.004963887716859844	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Aspergillus_fumigatus	0.030158448717742065	0.1
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	CustomDB BLAST	Cutadapt_PE	Cutadapt	PE	Candida_albicans	0.2896968036235271	0.1
