run_id	sample_id	Xaxis	DNA_kit	replicate	matrix_type	taxonomy_method	BLAST	Trimm	Paired	Species2	relative_abundance
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Aspergillus_fumigatus	0.0333697351765903
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Candida_albicans	0.28955598024372686
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Cryptococcus_neoformans	0.1393239184929637
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Cutaneotrichosporon_dermatis	0.2359584026209327
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Fusarium_keratoplasticum	0.0020600134024968356
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Malassezia_globosa	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Nakaseomyces_glabratus	0.10848576605197191
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Penicillium_chrysogenum	0.12556153979796977
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Saccharomyces_cerevisiae	0.06072075649648805
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1D	DNeasy	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Trichophyton_interdigitale	0.004963887716859844
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Aspergillus_fumigatus	0.030158448717742065
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Candida_albicans	0.2896968036235271
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Cryptococcus_neoformans	0.1622527764793114
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Cutaneotrichosporon_dermatis	0.2290655877754316
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Fusarium_keratoplasticum	0.0018214349038508035
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Malassezia_globosa	0
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Nakaseomyces_glabratus	0.1191347378262061
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Penicillium_chrysogenum	0.11936846177404536
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Saccharomyces_cerevisiae	0.043593545995261045
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Q	QIAamp	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Trichophyton_interdigitale	0.00490820290462451
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Z	Zymo	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Aspergillus_fumigatus	0.030512582875882228
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Z	Zymo	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Candida_albicans	0.290867612461681
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	fig4_q30_PE_cutadapt_unite_blast_top1_rescue_1Z	Zymo	1	mock_only	CustomDB BLAST	CustomDB_BLAST	Cutadapt	PE	Cryptococcus_neoformans	0.13498966279318458
